   1160      718        2
   215    151    152    155   1   2
   216    156    155    152   1   2
   217    158    157    153   1   2
   218    153    154    158   1   2
   219    154    155    158   1   2
   220    159    158    155   1   2
   221    160    159    155   1   2
   222    155    156    160   1   2
   223    157    158    161   1   2
   224    162    161    158   1   2
   225    163    162    158   1   2
   226    158    159    163   1   2
   227    159    160    163   1   2
   228    164    163    160   1   2
   229    166    165    161   1   2
   230    161    162    166   1   2
   231    162    163    166   1   2
   232    167    166    163   1   2
   233    168    167    163   1   2
   234    163    164    168   1   2
   235    165    166    169   1   2
   236    170    169    166   1   2
   237    171    170    166   1   2
   238    166    167    171   1   2
   239    167    168    171   1   2
   240    172    171    168   1   2
   241    178    177    173   1   2
   242    173    174    178   1   2
   243    174    175    178   1   2
   244    179    178    175   1   2
   245    180    179    175   1   2
   246    175    176    180   1   2
   247    177    178    181   1   2
   248    182    181    178   1   2
   249    183    182    178   1   2
   250    178    179    183   1   2
   251    179    180    183   1   2
   252    184    183    180   1   2
   253    186    185    181   1   2
   254    181    182    186   1   2
   255    182    183    186   1   2
   256    187    186    183   1   2
   257    188    187    183   1   2
   258    183    184    188   1   2
   259    185    186    189   1   2
   260    190    189    186   1   2
   261    191    190    186   1   2
   262    186    187    191   1   2
   263    187    188    191   1   2
   264    192    191    188   1   2
   265    194    193    189   1   2
   266    189    190    194   1   2
   267    190    191    194   1   2
   268    195    194    191   1   2
   269    196    195    191   1   2
   270    191    192    196   1   2
   271    193    194    197   1   2
   272    198    197    194   1   2
   273    199    198    194   1   2
   274    194    195    199   1   2
   275    195    196    199   1   2
   276    200    199    196   1   2
   277    202    201    197   1   2
   278    197    198    202   1   2
   279    198    199    202   1   2
   280    203    202    199   1   2
   281    204    203    199   1   2
   282    199    200    204   1   2
   283    201    202    205   1   2
   284    206    205    202   1   2
   285    207    206    202   1   2
   286    202    203    207   1   2
   287    203    204    207   1   2
   288    208    207    204   1   2
   289    210    209    205   1   2
   290    205    206    210   1   2
   291    206    207    210   1   2
   292    211    210    207   1   2
   293    212    211    207   1   2
   294    207    208    212   1   2
   295    209    210    213   1   2
   296    214    213    210   1   2
   297    215    214    210   1   2
   298    210    211    215   1   2
   299    211    212    215   1   2
   300    216    215    212   1   2
   301    218    217    213   1   2
   302    213    214    218   1   2
   303    214    215    218   1   2
   304    219    218    215   1   2
   305    220    219    215   1   2
   306    215    216    220   1   2
   307    217    218    221   1   2
   308    222    221    218   1   2
   309    223    222    218   1   2
   310    218    219    223   1   2
   311    219    220    223   1   2
   312    224    223    220   1   2
   313    226    225    221   1   2
   314    221    222    226   1   2
   315    222    223    226   1   2
   316    227    226    223   1   2
   317    228    227    223   1   2
   318    223    224    228   1   2
   319    225    226    229   1   2
   320    230    229    226   1   2
   321    231    230    226   1   2
   322    226    227    231   1   2
   323    227    228    231   1   2
   324    232    231    228   1   2
   325    234    233    229   1   2
   326    229    230    234   1   2
   327    230    231    234   1   2
   328    235    234    231   1   2
   329    236    235    231   1   2
   330    231    232    236   1   2
   331    233    234    237   1   2
   332    238    237    234   1   2
   333    239    238    234   1   2
   334    234    235    239   1   2
   335    235    236    239   1   2
   336    240    239    236   1   2
   337    242    241    237   1   2
   338    237    238    242   1   2
   339    238    239    242   1   2
   340    243    242    239   1   2
   341    244    243    239   1   2
   342    239    240    244   1   2
   343    241    242    245   1   2
   344    246    245    242   1   2
   345    247    246    242   1   2
   346    242    243    247   1   2
   347    243    244    247   1   2
   348    248    247    244   1   2
   349    250    249    245   1   2
   350    245    246    250   1   2
   351    246    247    250   1   2
   352    251    250    247   1   2
   353    252    251    247   1   2
   354    247    248    252   1   2
   355    249    250    253   1   2
   356    254    253    250   1   2
   357    255    254    250   1   2
   358    250    251    255   1   2
   359    251    252    255   1   2
   360    256    255    252   1   2
   361    279    278    257   1   2
   362    257    258    279   1   2
   363    258    259    279   1   2
   364    280    279    259   1   2
   365    281    280    259   1   2
   366    259    260    281   1   2
   367    260    261    281   1   2
   368    282    281    261   1   2
   369    283    282    261   1   2
   370    261    262    283   1   2
   371    262    263    283   1   2
   372    284    283    263   1   2
   373    285    284    263   1   2
   374    263    264    285   1   2
   375    264    265    285   1   2
   376    286    285    265   1   2
   377    287    286    265   1   2
   378    265    266    287   1   2
   379    266    267    287   1   2
   380    288    287    267   1   2
   381    289    288    267   1   2
   382    267    268    289   1   2
   383    268    269    289   1   2
   384    290    289    269   1   2
   385    291    290    269   1   2
   386    269    270    291   1   2
   387    270    271    291   1   2
   388    292    291    271   1   2
   389    293    292    271   1   2
   390    271    272    293   1   2
   391    272    273    293   1   2
   392    294    293    273   1   2
   393    295    294    273   1   2
   394    273    274    295   1   2
   395    274    275    295   1   2
   396    296    295    275   1   2
   397    297    296    275   1   2
   398    275    276    297   1   2
   399    276    277    297   1   2
   400    298    297    277   1   2
   401    278    279    299   1   2
   402    300    299    279   1   2
   403    301    300    279   1   2
   404    279    280    301   1   2
   405    280    281    301   1   2
   406    302    301    281   1   2
   407    303    302    281   1   2
   408    281    282    303   1   2
   409    282    283    303   1   2
   410    304    303    283   1   2
   411    305    304    283   1   2
   412    283    284    305   1   2
   413    284    285    305   1   2
   414    306    305    285   1   2
   415    307    306    285   1   2
   416    285    286    307   1   2
   417    286    287    307   1   2
   418    308    307    287   1   2
   419    309    308    287   1   2
   420    287    288    309   1   2
   421    288    289    309   1   2
   422    310    309    289   1   2
   423    311    310    289   1   2
   424    289    290    311   1   2
   425    290    291    311   1   2
   426    312    311    291   1   2
   427    313    312    291   1   2
   428    291    292    313   1   2
   429    292    293    313   1   2
   430    314    313    293   1   2
   431    315    314    293   1   2
   432    293    294    315   1   2
   433    294    295    315   1   2
   434    316    315    295   1   2
   435    317    316    295   1   2
   436    295    296    317   1   2
   437    296    297    317   1   2
   438    318    317    297   1   2
   439    319    318    297   1   2
   440    297    298    319   1   2
   441    321    320    299   1   2
   442    299    300    321   1   2
   443    300    301    321   1   2
   444    322    321    301   1   2
   445    323    322    301   1   2
   446    301    302    323   1   2
   447    302    303    323   1   2
   448    324    323    303   1   2
   449    325    324    303   1   2
   450    303    304    325   1   2
   451    304    305    325   1   2
   452    326    325    305   1   2
   453    327    326    305   1   2
   454    305    306    327   1   2
   455    306    307    327   1   2
   456    328    327    307   1   2
   457    329    328    307   1   2
   458    307    308    329   1   2
   459    308    309    329   1   2
   460    330    329    309   1   2
   461    331    330    309   1   2
   462    309    310    331   1   2
   463    310    311    331   1   2
   464    332    331    311   1   2
   465    333    332    311   1   2
   466    311    312    333   1   2
   467    312    313    333   1   2
   468    334    333    313   1   2
   469    335    334    313   1   2
   470    313    314    335   1   2
   471    314    315    335   1   2
   472    336    335    315   1   2
   473    337    336    315   1   2
   474    315    316    337   1   2
   475    316    317    337   1   2
   476    338    337    317   1   2
   477    339    338    317   1   2
   478    317    318    339   1   2
   479    318    319    339   1   2
   480    340    339    319   1   2
   481    320    321    341   1   2
   482    342    341    321   1   2
   483    343    342    321   1   2
   484    321    322    343   1   2
   485    322    323    343   1   2
   486    344    343    323   1   2
   487    345    344    323   1   2
   488    323    324    345   1   2
   489    324    325    345   1   2
   490    346    345    325   1   2
   491    347    346    325   1   2
   492    325    326    347   1   2
   493    326    327    347   1   2
   494    348    347    327   1   2
   495    349    348    327   1   2
   496    327    328    349   1   2
   497    328    329    349   1   2
   498    350    349    329   1   2
   499    351    350    329   1   2
   500    329    330    351   1   2
   501    330    331    351   1   2
   502    352    351    331   1   2
   503    353    352    331   1   2
   504    331    332    353   1   2
   505    332    333    353   1   2
   506    354    353    333   1   2
   507    355    354    333   1   2
   508    333    334    355   1   2
   509    334    335    355   1   2
   510    356    355    335   1   2
   511    357    356    335   1   2
   512    335    336    357   1   2
   513    336    337    357   1   2
   514    358    357    337   1   2
   515    359    358    337   1   2
   516    337    338    359   1   2
   517    338    339    359   1   2
   518    360    359    339   1   2
